Dataset,D,Method,Gap,Train_Errors,Test_Errors,Time
iris,2,Univariate,0.0,5,1,4.605550050735474
iris,2,Multivariate,0.0,1,3,2.4391801357269287
iris,3,Univariate,0.0,0,1,29.54228401184082
iris,3,Multivariate,0.0,0,1,1.2271718978881836
iris,4,Univariate,0.0,0,4,23.688452005386353
iris,4,Multivariate,0.0,0,1,3.356778144836426
seeds,2,Univariate,0.0,10,3,25.798866987228394
seeds,2,Multivariate,0.0,0,1,1.193774938583374
seeds,3,Univariate,4.347823386445102,7,3,30.044374227523804
seeds,3,Multivariate,0.0,0,0,3.149178981781006
seeds,4,Univariate,4.347823386445102,7,2,30.148489952087402
seeds,4,Multivariate,0.0,0,2,15.200533866882324
wine,2,Univariate,0.0,5,2,17.464006900787354
wine,2,Multivariate,0.0,0,2,0.4062631130218506
wine,3,Univariate,2.158271828581418,3,3,30.04294204711914
wine,3,Multivariate,0.0,0,1,1.5260000228881836
wine,4,Univariate,2.158271828581418,3,4,30.09667992591858
wine,4,Multivariate,0.0,0,4,5.769819021224976
breast_cancer_,2,Univariate,5.568444183655642,24,11,30.067965030670166
breast_cancer_,2,Multivariate,0.0,0,4,7.984714984893799
breast_cancer_,3,Univariate,7.058821868512502,30,9,30.190584182739258
breast_cancer_,3,Multivariate,0.0,0,6,11.0678129196167
breast_cancer_,4,Univariate,8.85167252352332,37,8,30.550067901611328
breast_cancer_,4,Multivariate,169.23066909427865,286,71,30.33141303062439
ecoli_,2,Univariate,6.367883782405061,47,15,30.46095108985901
ecoli_,2,Multivariate,9.776992002130472,43,18,30.070696115493774
ecoli_,3,Univariate,378.5707525522276,199,60,30.079620122909546
ecoli_,3,Multivariate,15.02145278049237,32,15,30.12628197669983
ecoli_,4,Univariate,51.41240033197721,91,27,30.435932874679565
ecoli_,4,Multivariate,19.642848373728405,44,11,30.180532932281494
